mode,step,det_acc_mean,det_acc_ci_low,det_acc_ci_high,sampled_acc_mean,sampled_acc_ci_low,sampled_acc_ci_high
literal,0,0.0,0.0,0.0,0.3745982142857143,0.3604854252762459,0.38871100329518277
literal,1,0.5267857142857143,0.43136050624369593,0.6222109223277327,0.5645982142857142,0.4863504490396994,0.6428459795317291
literal,2,0.6517857142857142,0.484589146941956,0.8189822816294724,0.6521874999999999,0.5538350692037332,0.7505399307962667
literal,3,0.7142857142857143,0.5826785447963694,0.8458928837750592,0.7340625000000001,0.6656872914921246,0.8024377085078755
literal,4,0.7767857142857143,0.6324848364584692,0.9210865921129594,0.7689732142857143,0.7214013698852358,0.8165450586861928
literal,5,0.8482142857142858,0.7269309629571622,0.9694976084714094,0.8062946428571427,0.7610182722930925,0.8515710134211929
literal,6,0.8839285714285715,0.764763897697428,1.003093245159715,0.8133035714285713,0.7672513623494115,0.8593557805077312
literal,7,0.8839285714285715,0.764763897697428,1.003093245159715,0.8353571428571429,0.7738575509928778,0.896856734721408
literal,8,0.9196428571428572,0.8116933555337429,1.0275923587519715,0.8576339285714286,0.7920381589065356,0.9232296982363216
literal,9,0.9196428571428572,0.8116933555337429,1.0275923587519715,0.8599107142857142,0.794555200106275,0.9252662284651534
literal,10,0.9553571428571429,0.8712841348484632,1.0394301508658226,0.8737053571428572,0.8107271590995097,0.9366835551862048
literal,11,0.9464285714285715,0.8634994671705187,1.0293576756866243,0.8681696428571428,0.801705064139709,0.9346342215745767
literal,12,0.9553571428571429,0.8920189932609076,1.018695292453378,0.8732142857142857,0.8092074769469645,0.937221094481607
literal,13,0.9553571428571429,0.8920189932609076,1.018695292453378,0.8808035714285715,0.8171219644269421,0.9444851784302009
literal,14,0.9464285714285715,0.8634994671705187,1.0293576756866243,0.8767410714285714,0.8146140170461971,0.9388681258109457
literal,15,0.9553571428571429,0.8712841348484632,1.0394301508658226,0.9176785714285715,0.8638318602081394,0.9715252826490035
literal,16,1.0,1.0,1.0,0.9480357142857141,0.9116395184134465,0.9844319101579817
literal,17,1.0,1.0,1.0,0.9372767857142859,0.8950019363379259,0.9795516350906458
literal,18,1.0,1.0,1.0,0.9416071428571428,0.8948579843443059,0.9883563013699797
literal,19,1.0,1.0,1.0,0.9492410714285714,0.9014773955434379,0.9970047473137049
literal,20,1.0,1.0,1.0,0.9591071428571429,0.9163783069386575,1.0018359787756284
literal,21,1.0,1.0,1.0,0.9604017857142857,0.921083050627222,0.9997205208013494
literal,22,1.0,1.0,1.0,0.9596428571428572,0.9194484524220483,0.9998372618636662
literal,23,1.0,1.0,1.0,0.9678571428571429,0.938476528227335,0.9972377574869508
literal,24,1.0,1.0,1.0,0.9713839285714285,0.9454910762534825,0.9972767808893745
literal,25,1.0,1.0,1.0,0.9681249999999999,0.936418648008555,0.9998313519914448
literal,26,1.0,1.0,1.0,0.9684375,0.9386586513599917,0.9982163486400082
literal,27,1.0,1.0,1.0,0.9720982142857142,0.9466979716599744,0.997498456911454
